Exercício: 2014;;;;;;;
Escopo: Municípios do Estado - RJ;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;424802457,9
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;15100860,12
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;13406744,07
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;01.999 - Demais Subfunções Legislativa;siconfi-cor_TotalDespesas;1694116,05
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;2994849,31
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;2994849,31
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;76986196,73
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;64466067,75
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;2842973,92
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;11466,3
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;313469,73
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.127 - Ordenamento Territorial;siconfi-cor_TotalDespesas;5370,42
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.129 - Administração de Receitas;siconfi-cor_TotalDespesas;4523199,86
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;1239351,4
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;04.999 - Demais Subfunções Administração;siconfi-cor_TotalDespesas;3584297,35
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2556099,92
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;1419201,74
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;06.183 - Informação e Inteligência;siconfi-cor_TotalDespesas;1067854,74
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;06.999 - Demais Subfunções Segurança Pública;siconfi-cor_TotalDespesas;69043,44
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;7465774,27
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;109102,84
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;08.242 - Assistência ao Portador de Deficiência;siconfi-cor_TotalDespesas;38711,19
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;758667,44
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;2527883,71
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;08.999 - Demais Subfunções Assistência Social;siconfi-cor_TotalDespesas;4031409,09
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;17847956,47
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;09.999 - Demais Subfunções Previdência Social;siconfi-cor_TotalDespesas;17847956,47
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;128913214,1
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;26069845,56
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;54918437,89
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;4530235,58
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;1361155,68
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;3859783,98
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;10.999 - Demais Subfunções Saúde;siconfi-cor_TotalDespesas;38173755,38
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;11 - Trabalho;siconfi-cor_TotalDespesas;2048488,46
Prefeitura Municipal de Resende - RJ;3304201;RJ;124316;Despesas Empenhadas;11.334 - Fomento ao Trabalho;siconfi-cor_TotalDespesas;1889880,9
