Exercício: 2019;;;;;;;
Escopo: Municípios do Estado - RJ;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;56900589,27
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;56835789,27
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;915279,34
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;712943,85
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;303920,56
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;303920,56
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;303642,88
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;277,68
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;409023,29
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;245165,27
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.8.01.1.0;180685,67
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis;siconfi-cor_RO1.1.1.8.01.4.0;64479,6
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.8.02.0.0;163858,02
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;siconfi-cor_RO1.1.1.8.02.3.0;163858,02
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;202335,49
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;130920,95
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.01.0.0;130920,95
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios;siconfi-cor_RO1.1.2.8.00.0.0;71414,54
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.8.01.0.0;71414,54
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras;siconfi-cor_RO1.1.2.8.01.9.0;71414,54
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;1673105,09
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;1194816,38
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios;siconfi-cor_RO1.2.1.8.00.0.0;1194816,38
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.2.1.8.01.0.0 - Contribuição do Servidor Civil para o Plano de Seguridade Social - CPSSS - Específico de EST/DF/MUN;siconfi-cor_RO1.2.1.8.01.0.0;1194816,38
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.2.1.8.01.1.0 - CPSSS do Servidor Civil Ativo;siconfi-cor_RO1.2.1.8.01.1.0;1194816,38
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.2.4.0.00.0.0 - Contribuição para o Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.4.0.00.0.0;478288,71
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.3.0.0.00.0.0 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.0.0;7088489,44
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.3.2.0.00.0.0 - Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.0.0;7088489,44
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.3.2.1.00.0.0 - Juros e Correções Monetárias;siconfi-cor_RO1.3.2.1.00.0.0;7088489,44
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.1.00.1.0;181924,71
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS;siconfi-cor_RO1.3.2.1.00.4.0;6906564,73
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.0.0.00.0.0 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.0.0;46862174,78
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.0.00.0.0 - Transferências da União e de suas Entidades;siconfi-cor_RO1.7.1.0.00.0.0;19960757,32
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios;siconfi-cor_RO1.7.1.8.00.0.0;19960757,32
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.01.0.0 Participação na Receita da União;siconfi-cor_RO1.7.1.8.01.0.0;8435198,69
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.01.2.0 Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal;siconfi-cor_RO1.7.1.8.01.2.0;8427475,57
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.01.5.0 Cota-Parte do Imposto Sobre a Propriedade Territorial Rural;siconfi-cor_RO1.7.1.8.01.5.0;7723,12
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.02.0.0 Transferência da Compensação Financeira pela Exploração de Recursos Naturais;siconfi-cor_RO1.7.1.8.02.0.0;8468164,91
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.02.3.0 Cota-parte Royalties ¿ Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89;siconfi-cor_RO1.7.1.8.02.3.0;8354275,49
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.02.6.0 Cota-Parte do Fundo Especial do Petróleo ¿ FEP;siconfi-cor_RO1.7.1.8.02.6.0;113889,42
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;"1.7.1.8.03.0.0 Transferência de Recursos do Sistema Único de Saúde ¿ 
 SUS ¿ Bloco Custeio das Ações e Serviços Públicos de Saúde";siconfi-cor_RO1.7.1.8.03.0.0;1830767,72
Prefeitura Municipal de Laje do Muriaé - RJ;3302304;RJ;7386;Receitas Brutas Realizadas;1.7.1.8.03.1.0 - Transferência de Recursos do SUS ¿ Atenção Básica;siconfi-cor_RO1.7.1.8.03.1.0;847688,17
